"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to check the CRUD functionality of reqres.in","I want to create a user to the application","FAILURE","2022-06-21T20:09:41.315+01:00[Europe/London]","0.0","5.91"
"As a user I would like to check the CRUD functionality of reqres.in","I want to read the newly created user from the application","FAILURE","2022-06-21T20:09:48.939+01:00[Europe/London]","0.0","0.31"
"As a user I would like to check the CRUD functionality of reqres.in","I want to update the newly created user using PUT from the application","FAILURE","2022-06-21T20:09:49.361+01:00[Europe/London]","0.0","0.24"
"As a user I would like to check the CRUD functionality of reqres.in","I want to update the newly created user using PATCH from the application","FAILURE","2022-06-21T20:09:49.721+01:00[Europe/London]","0.0","0.19"
"As a user I would like to check the CRUD functionality of reqres.in","I want to delete the newly created user from the application","FAILURE","2022-06-21T20:09:50.017+01:00[Europe/London]","0.0","0.14"
"As a user I would like to check the CRUD functionality of reqres.in","I want to read all users from the application and verify some items from response","FAILURE","2022-06-21T20:09:50.252+01:00[Europe/London]","0.0","0.2"
"Users CRUD test","Verify is User is added or not","FAILURE","2022-06-21T20:09:51.549+01:00[Europe/London]","0.0","0.19"
"Users CRUD test","This will login a user","FAILURE","2022-06-21T20:09:51.736+01:00[Europe/London]","0.0","0.14"
